Date,Cpi,Food Price Index,Energy Price Index,Hicp,Unemployment Rate,Gdp,Rent Price,House Prices,Lci
2003-08-01,0.1594015991746196,0.06299072091363311,0.10542414355628058,0.1680736761320032,0.08704453441295545,0.35928869805732333,0.26702630419073925,0.6026012136503209,0.33292658124872887
2003-09-01,0.19809130771214845,0.07815845824411133,0.08238172920065254,0.20951650038373026,0.08906882591093118,0.37217550824523005,0.2762223230428873,0.6048085090110795,0.3656701240593858
2003-10-01,0.2055713180294041,0.1156316916488222,0.09801522566612283,0.2171910974673832,0.09716599190283404,0.38506231843313654,0.28541834189503534,0.6070158043718386,0.39841366687004265
2003-11-01,0.20944028888315724,0.13704496788008563,0.098694942903752,0.22077257610642143,0.09817813765182187,0.4052316814475938,0.295958764722287,0.5967761837956,0.33455358958714665
2003-12-01,0.2182099561516635,0.1343683083511777,0.12064980967917346,0.2320286518291126,0.09919028340080971,0.42540104446205107,0.30649918754953864,0.5865365632193609,0.27069351230425065
2004-01-01,0.20479752385865346,0.15283725910064244,0.13138934203371397,0.21488871834228718,0.1740890688259109,0.44557040747650833,0.3170396103767903,0.5762969426431221,0.20683343502135448
2004-02-01,0.19834923910239866,0.17291220556745185,0.12615551930396954,0.20209772320286534,0.15485829959514175,0.453322939828422,0.3290478769571923,0.5751268608599287,0.20398617042912348
2004-03-01,0.24941965437193714,0.20529978586723768,0.14552746057640017,0.25991302123305227,0.1578947368421053,0.4610754721803356,0.34105614353759517,0.5739567790767348,0.20113890583689242
2004-04-01,0.2553520763476915,0.19914346895074947,0.15028548123980426,0.26733179841391674,0.1497975708502024,0.4688280045322497,0.3530644101179976,0.5727866972935411,0.19829164124466137
2004-05-01,0.2646376063966982,0.17612419700214127,0.18488308863512773,0.27628549501151234,0.1508097165991903,0.48467100013346864,0.3632076201083141,0.5779656975848688,0.22920479967459828
2004-06-01,0.2584472530306936,0.15533547466095649,0.17094888526373028,0.27193655666410876,0.14676113360323884,0.5005139957346876,0.37335083009863057,0.5831446978761963,0.2601179581045353
2004-07-01,0.21975754449316476,0.1407030692362598,0.1865144100054377,0.23100537221795836,0.15182186234817818,0.5163569913359061,0.38349404008894705,0.588323698167524,0.2910311165344722
